Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_range,Distance,Att_rate
35,No,Travel_Frequently,Sales,18,5,Life Sciences,1,2,Male,Sales Executive,Married,9069,1,No,22,9,2,9,8,1,8,29-38,far,0
35,No,Travel_Rarely,Research & Development,23,4,Medical,1,3,Female,Laboratory Technician,Married,4014,3,Yes,15,4,3,2,2,2,2,29-38,far,0
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,4,Male,Laboratory Technician,Divorced,5915,3,No,22,10,2,7,7,1,7,29-38,Very nearby,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1,Male,Manufacturing Director,Divorced,5993,1,No,18,7,4,7,5,0,7,29-38,Very nearby,0
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,1,Male,Manufacturing Director,Married,6162,1,Yes,22,9,3,9,8,7,8,29-38,Very nearby,0
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,4,Female,Laboratory Technician,Single,2406,1,No,11,10,3,10,3,9,9,39-48,very far,0
50,No,Travel_Rarely,Research & Development,7,2,Medical,1,2,Female,Research Director,Divorced,18740,5,Yes,12,29,2,27,3,13,8,49-58,Very nearby,0
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,1,Female,Sales Executive,Single,7637,7,No,11,28,2,21,16,7,9,59-68,far,0
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,3,Female,Healthcare Representative,Divorced,10096,1,No,13,17,3,17,14,12,8,29-38,Very nearby,0
55,No,Travel_Rarely,Research & Development,8,3,Medical,1,4,Female,Manager,Divorced,14756,2,Yes,14,21,3,5,0,0,2,49-58,Very nearby,0
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,2,Male,Manufacturing Director,Single,6499,1,No,13,6,3,6,5,0,3,29-38,nearby,0
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2,Male,Research Scientist,Divorced,9724,2,No,17,25,3,1,0,0,0,39-48,Very nearby,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,1,2,Male,Research Scientist,Married,2194,4,No,13,5,2,3,2,1,2,29-38,Very nearby,0
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,4,Male,Research Scientist,Married,3388,0,Yes,17,2,2,1,0,0,0,29-38,nearby,1
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,1,Female,Sales Executive,Single,5473,7,No,11,20,2,4,3,1,3,59-68,Very nearby,0
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Male,Research Scientist,Married,2703,0,No,23,6,3,5,4,0,4,29-38,Very nearby,0
31,No,Travel_Rarely,Research & Development,1,4,Medical,1,3,Male,Research Scientist,Single,2501,1,No,17,1,3,1,1,1,0,29-38,Very nearby,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,2,Male,Research Scientist,Married,6220,1,No,17,10,3,10,4,0,9,29-38,Very nearby,0
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,2,Female,Laboratory Technician,Married,3038,3,No,12,5,3,1,0,0,0,29-38,Very nearby,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,3,Female,Manufacturing Director,Single,4424,1,No,23,11,3,11,7,1,8,29-38,Very nearby,0
35,No,Travel_Rarely,Sales,1,4,Marketing,1,3,Male,Sales Executive,Single,4312,0,No,14,16,3,15,13,2,8,29-38,Very nearby,0
45,No,Travel_Rarely,Research & Development,6,4,Other,1,4,Male,Research Director,Married,13245,4,Yes,14,17,4,0,0,0,0,39-48,Very nearby,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,1,Male,Research Director,Single,13664,4,No,13,16,4,5,2,0,2,29-38,Very nearby,0
46,No,Travel_Rarely,Human Resources,5,2,Medical,1,2,Male,Human Resources,Divorced,5021,8,Yes,22,16,3,4,2,0,2,39-48,Very nearby,0
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,4,Male,Laboratory Technician,Married,5126,1,Yes,12,10,2,10,8,3,0,29-38,Very nearby,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,2,Male,Research Scientist,Single,2859,1,No,18,6,3,6,4,0,4,29-38,Very nearby,0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,1,Male,Sales Executive,Married,10239,3,No,14,24,3,1,0,1,0,49-58,Very nearby,0
38,No,Non-Travel,Research & Development,6,3,Medical,1,2,Female,Research Scientist,Divorced,5329,7,Yes,12,17,3,13,11,1,9,39-48,Very nearby,0
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,1,Male,Manufacturing Director,Married,4325,1,No,15,5,3,5,2,1,3,29-38,Very nearby,0
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,4,Male,Manufacturing Director,Single,7260,4,No,11,37,2,6,4,0,2,49-58,Very nearby,0
23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,3,Male,Sales Representative,Divorced,2322,3,No,13,3,3,0,0,0,0,18-28,Very nearby,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,4,Male,Laboratory Technician,Married,2075,3,No,23,10,3,4,2,0,3,49-58,nearby,0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Male,Healthcare Representative,Married,4152,1,No,19,11,3,11,10,10,8,29-38,Very nearby,0
46,Yes,Travel_Rarely,Sales,9,2,Medical,1,3,Male,Sales Executive,Single,9619,1,No,16,9,3,9,8,4,7,39-48,nearby,1
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,3,Male,Healthcare Representative,Married,13503,1,No,22,22,2,22,3,11,11,39-48,Very nearby,0
51,No,Travel_Rarely,Sales,21,4,Marketing,1,3,Male,Sales Executive,Single,5441,0,Yes,22,11,1,10,7,1,0,49-58,far,0
30,No,Travel_Rarely,Sales,4,2,Medical,1,3,Female,Sales Executive,Divorced,5209,1,Yes,12,11,2,11,8,2,7,29-38,Very nearby,0
46,No,Travel_Frequently,Research & Development,1,3,Medical,1,3,Male,Healthcare Representative,Married,10673,2,Yes,13,21,2,10,9,9,5,39-48,Very nearby,0
32,No,Travel_Rarely,Sales,6,4,Medical,1,2,Male,Sales Executive,Single,5010,1,No,16,12,3,11,8,5,7,29-38,Very nearby,0
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1,Female,Research Director,Married,13549,9,No,12,16,1,4,3,0,3,49-58,Very nearby,0
24,No,Travel_Rarely,Sales,3,2,Other,1,1,Female,Sales Executive,Married,4999,0,No,21,4,2,3,2,0,2,18-28,Very nearby,0
28,No,Non-Travel,Sales,4,3,Medical,1,2,Male,Sales Executive,Married,4221,1,No,15,5,4,5,4,0,4,29-38,Very nearby,0
58,No,Travel_Rarely,Sales,10,4,Medical,1,4,Male,Sales Executive,Single,13872,0,No,13,38,2,37,10,1,8,59-68,nearby,0
44,No,Non-Travel,Research & Development,23,3,Medical,1,2,Male,Laboratory Technician,Married,2042,4,No,12,17,4,3,2,1,2,39-48,far,0
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,3,Male,Human Resources,Divorced,2073,4,Yes,22,7,3,3,2,0,2,29-38,Very nearby,1
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,4,Male,Research Scientist,Single,2956,1,No,13,1,3,1,0,0,0,29-38,Very nearby,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,4,Female,Laboratory Technician,Single,2926,1,Yes,18,1,3,1,0,1,0,18-28,Very nearby,1
34,No,Travel_Rarely,Research & Development,6,4,Other,1,1,Female,Research Scientist,Single,4809,1,No,14,16,3,16,13,2,10,29-38,Very nearby,0
37,No,Non-Travel,Research & Development,2,2,Life Sciences,1,3,Male,Healthcare Representative,Divorced,5163,5,No,14,17,4,1,0,0,0,29-38,Very nearby,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,1,3,Female,Manager,Married,18844,9,No,21,30,3,3,2,2,2,59-68,Very nearby,0
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,1,Female,Research Director,Married,18172,3,Yes,19,28,2,8,3,0,7,49-58,Very nearby,0
25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,3,Male,Sales Executive,Single,5744,1,Yes,11,6,3,6,4,0,3,18-28,Very nearby,1
25,No,Travel_Rarely,Research & Development,7,1,Medical,1,4,Male,Research Scientist,Married,2889,1,No,11,2,3,2,2,2,1,18-28,Very nearby,0
22,No,Travel_Rarely,Research & Development,15,3,Medical,1,2,Female,Laboratory Technician,Single,2871,1,No,15,1,3,0,0,0,0,18-28,nearby,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,1,Female,Healthcare Representative,Single,7484,3,No,20,23,2,13,12,12,8,49-58,Very nearby,0
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,Male,Laboratory Technician,Single,6074,1,Yes,24,9,3,9,7,0,6,29-38,Very nearby,1
54,No,Non-Travel,Human Resources,26,3,Human Resources,1,4,Female,Manager,Single,17328,2,Yes,12,23,3,5,3,4,4,49-58,far,0
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,2,Male,Laboratory Technician,Married,2774,0,No,12,6,3,5,3,1,2,18-28,far,0
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,3,Female,Research Scientist,Divorced,4505,6,No,15,12,3,1,0,0,0,29-38,Very nearby,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,1,3,Male,Sales Executive,Single,7428,2,No,12,12,3,5,3,1,3,29-38,Very nearby,0
34,No,Travel_Rarely,Research & Development,5,3,Medical,1,3,Female,Manager,Single,11631,2,No,12,14,3,11,10,5,8,29-38,Very nearby,0
36,No,Travel_Frequently,Sales,11,2,Technical Degree,1,2,Female,Sales Executive,Married,9738,0,No,14,10,3,9,7,2,8,29-38,nearby,0
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,1,Female,Laboratory Technician,Divorced,2835,5,No,22,7,3,1,0,0,0,29-38,Very nearby,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,1,3,Male,Manager,Married,16959,1,Yes,12,25,4,25,12,4,12,39-48,far,0
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,1,Male,Research Scientist,Divorced,2613,1,No,25,10,2,10,7,0,9,29-38,far,0
33,No,Non-Travel,Sales,22,2,Marketing,1,3,Male,Sales Executive,Married,6146,0,No,13,8,4,7,7,0,7,29-38,far,0
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,1,2,Female,Research Scientist,Married,4963,9,Yes,18,7,3,5,4,4,3,49-58,nearby,1
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,1,Male,Research Director,Single,19537,7,No,13,23,3,20,18,15,15,49-58,Very nearby,0
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,2,Male,Sales Executive,Married,6172,4,Yes,18,12,2,7,7,7,7,29-38,Very nearby,1
26,No,Travel_Rarely,Research & Development,6,3,Other,1,3,Female,Research Scientist,Married,2368,1,No,19,5,2,5,4,4,3,18-28,Very nearby,0
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,4,Female,Healthcare Representative,Married,10312,1,No,12,40,2,40,10,15,6,59-68,far,1
19,Yes,Travel_Rarely,Sales,22,1,Marketing,1,4,Male,Sales Representative,Single,1675,1,Yes,19,0,2,0,0,0,0,18-28,far,1
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,3,Male,Laboratory Technician,Married,2523,0,No,14,3,3,2,1,2,1,18-28,Very nearby,0
49,No,Travel_Rarely,Research & Development,20,4,Medical,1,3,Female,Manufacturing Director,Married,6567,1,No,14,16,2,15,11,5,11,49-58,far,0
43,No,Travel_Frequently,Research & Development,28,3,Medical,1,2,Female,Research Scientist,Single,4739,4,No,12,18,3,3,2,1,2,39-48,very far,0
50,No,Travel_Frequently,Sales,12,3,Marketing,1,3,Female,Sales Executive,Single,9208,4,No,11,16,3,2,2,2,1,49-58,nearby,0
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,1,2,Female,Sales Executive,Married,4559,3,Yes,11,4,3,2,2,2,2,29-38,far,1
41,No,Travel_Rarely,Sales,9,1,Life Sciences,1,3,Male,Sales Executive,Divorced,8189,3,Yes,13,12,3,9,7,0,7,39-48,nearby,0
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,3,Female,Human Resources,Married,2942,1,No,23,8,3,8,7,5,7,18-28,far,0
36,No,Travel_Rarely,Research & Development,6,2,Medical,1,2,Male,Manufacturing Director,Divorced,4941,6,No,20,7,3,3,2,0,1,29-38,Very nearby,0
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,1,Male,Manufacturing Director,Single,10650,2,No,15,18,3,4,2,0,3,49-58,Very nearby,1
39,No,Travel_Rarely,Sales,4,4,Life Sciences,1,4,Female,Sales Executive,Married,5902,4,No,14,17,4,15,11,5,9,39-48,Very nearby,0
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,1,Male,Sales Executive,Married,8639,2,No,18,6,3,2,2,2,2,18-28,very far,0
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,1,3,Male,Human Resources,Married,6347,0,Yes,19,12,1,11,9,4,7,29-38,nearby,0
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,1,Female,Laboratory Technician,Single,4200,7,No,22,10,4,5,4,0,4,29-38,nearby,1
45,No,Travel_Rarely,Research & Development,29,3,Medical,1,3,Male,Research Scientist,Single,3452,5,No,13,9,2,6,5,0,3,39-48,very far,0
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,1,4,Female,Research Scientist,Single,4317,3,Yes,20,19,3,3,2,2,2,39-48,Very nearby,0
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,1,Female,Research Scientist,Single,2632,1,No,14,5,2,5,4,0,4,29-38,far,0
32,No,Travel_Frequently,Sales,9,2,Medical,1,4,Male,Sales Executive,Divorced,4668,0,No,17,9,4,8,7,0,7,29-38,nearby,0
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,4,Female,Research Scientist,Divorced,3204,5,No,14,8,3,3,2,2,2,29-38,Very nearby,0
30,No,Travel_Rarely,Research & Development,2,1,Medical,1,2,Male,Laboratory Technician,Single,2720,0,No,13,6,3,5,3,1,2,29-38,Very nearby,0
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,4,Male,Manager,Divorced,17181,4,No,13,21,2,7,6,7,7,39-48,nearby,0
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,Male,Laboratory Technician,Married,2238,2,No,21,7,3,5,0,1,4,39-48,nearby,0
19,No,Travel_Rarely,Research & Development,3,1,Medical,1,2,Female,Laboratory Technician,Single,1483,1,No,14,1,3,1,0,0,0,18-28,Very nearby,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,1,2,Female,Research Scientist,Divorced,5605,1,No,11,20,3,20,7,2,13,39-48,far,0
35,No,Travel_Rarely,Sales,1,5,Marketing,1,3,Male,Sales Executive,Married,7295,1,No,13,10,3,10,8,0,6,29-38,Very nearby,0
53,No,Travel_Rarely,Sales,6,2,Marketing,1,2,Male,Sales Representative,Married,2306,2,Yes,20,13,1,7,7,4,5,49-58,Very nearby,0
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,2,Male,Laboratory Technician,Divorced,2348,8,No,18,20,1,17,9,0,15,39-48,nearby,0
32,No,Travel_Frequently,Sales,8,3,Marketing,1,2,Female,Sales Executive,Single,8998,1,No,14,9,3,9,8,3,7,29-38,Very nearby,0
29,No,Non-Travel,Research & Development,1,1,Technical Degree,1,4,Male,Manufacturing Director,Married,4319,1,No,13,10,3,10,7,0,9,29-38,Very nearby,0
51,No,Travel_Rarely,Research & Development,7,4,Medical,1,2,Male,Manufacturing Director,Married,6132,2,No,17,10,3,1,0,0,0,49-58,Very nearby,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,1,2,Female,Research Scientist,Married,3346,4,Yes,20,9,2,1,0,0,0,59-68,nearby,0
40,No,Travel_Rarely,Sales,4,4,Marketing,1,3,Male,Sales Executive,Married,10855,7,No,11,15,2,12,11,2,11,39-48,Very nearby,0
34,No,Travel_Frequently,Sales,2,4,Marketing,1,3,Female,Sales Representative,Married,2231,6,No,18,6,3,4,3,1,2,29-38,Very nearby,0
22,No,Travel_Rarely,Research & Development,19,1,Medical,1,3,Male,Research Scientist,Married,2323,1,No,24,2,3,2,2,2,2,18-28,far,0
27,No,Non-Travel,Research & Development,9,3,Medical,1,4,Male,Research Scientist,Divorced,2024,6,No,18,6,1,2,2,2,2,18-28,nearby,0
28,No,Travel_Rarely,Research & Development,21,3,Medical,1,3,Male,Research Scientist,Married,2713,1,No,11,5,1,5,2,0,2,29-38,far,0
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,1,3,Male,Healthcare Representative,Divorced,9439,3,Yes,16,12,1,5,3,1,4,49-58,far,0
27,No,Non-Travel,Research & Development,3,3,Medical,1,3,Male,Research Scientist,Divorced,2566,1,Yes,15,1,2,1,1,0,1,18-28,Very nearby,0
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,3,Female,Manager,Single,19926,3,No,15,21,3,5,4,4,4,49-58,nearby,0
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,1,Male,Research Scientist,Divorced,2451,4,No,12,13,3,9,8,1,8,39-48,nearby,0
30,No,Travel_Rarely,Sales,5,3,Life Sciences,1,2,Female,Sales Executive,Married,9419,2,No,12,12,3,10,9,7,4,29-38,Very nearby,0
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,1,Female,Sales Executive,Single,8686,4,No,22,12,4,8,3,0,7,39-48,Very nearby,0
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,1,3,Male,Research Scientist,Single,3038,3,No,20,8,3,5,4,1,4,29-38,Very nearby,0
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,1,3,Male,Research Scientist,Married,3058,0,Yes,16,6,2,5,2,1,1,18-28,nearby,0
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,3,Female,Sales Representative,Single,2325,0,No,21,1,4,0,0,0,0,18-28,Very nearby,1
36,No,Travel_Frequently,Research & Development,3,2,Medical,1,4,Male,Laboratory Technician,Single,2088,4,No,12,13,2,8,7,7,2,29-38,Very nearby,0
